w,all_sample,one_sample1,one_sample2,50_sample,100_sampe
1.072,985.118174811,1728.16607692,824.503021665,906.078888586,905.845140601
1.074,984.54147636,1727.16286466,824.201989413,905.549632714,905.296014924
1.076,983.965072456,1726.16003233,823.901132446,905.020654319,904.747180578
1.078,983.388963098,1725.15757993,823.600450763,904.491953401,904.198637564
1.08,982.813148287,1724.15550747,823.299944363,903.963529961,903.650385881
1.082,982.237628023,1723.15381494,822.999613248,903.435383999,903.10242553
1.084,981.662402305,1722.15250235,822.699457416,902.907515515,902.55475651
1.086,981.087471133,1721.15156969,822.399476869,902.379924507,902.007378821
1.088,980.512834508,1720.15101696,822.099671605,901.852610978,901.460292464
1.09,979.938492429,1719.15084417,821.800041625,901.325574926,900.913497438
1.092,979.364444897,1718.15105131,821.50058693,900.798816352,900.366993744
1.094,978.790691911,1717.15163839,821.201307518,900.272335255,899.820781381
1.096,978.217233472,1716.1526054,820.90220339,899.746131636,899.274860349
1.098,977.644069579,1715.15395234,820.603274546,899.220205494,898.729230649
